"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1558","navigation from login page to registration page","LMS SYSTEM","Thu Feb 05 23:32:15 UTC 2026","passed","Thu Feb 05 23:32:17 UTC 2026","Authorization","Authentication","",""
"","1724","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:32:14 UTC 2026","passed","Thu Feb 05 23:32:16 UTC 2026","Authorization","Authentication","",""
"","1884","Create correct new course","tests.courses","Thu Feb 05 23:32:20 UTC 2026","passed","Thu Feb 05 23:32:22 UTC 2026","TestCourses","test_courses","",""
"","0","test_user_can_register","tests.pytest","Thu Feb 05 23:32:23 UTC 2026","passed","Thu Feb 05 23:32:23 UTC 2026","TestUserFlow","test_markers","",""
"","1641","Check display empty courses list","LMS SYSTEM","Thu Feb 05 23:32:19 UTC 2026","passed","Thu Feb 05 23:32:21 UTC 2026","Courses","Courses","",""
"","3432","User registration, logout and login with valid email and password","LMS SYSTEM","Thu Feb 05 23:32:11 UTC 2026","passed","Thu Feb 05 23:32:15 UTC 2026","Authorization","Authentication","",""
"","1986","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:32:11 UTC 2026","passed","Thu Feb 05 23:32:13 UTC 2026","Authorization","Authentication","",""
"","1","test_user_can_login","tests.pytest","Thu Feb 05 23:32:22 UTC 2026","passed","Thu Feb 05 23:32:22 UTC 2026","TestUserFlow","test_markers","",""
"","1215","User registration with correct email, username and password","LMS SYSTEM","Thu Feb 05 23:32:17 UTC 2026","passed","Thu Feb 05 23:32:18 UTC 2026","Authorization","Authentication","",""
"","1753","Check displaying of dashboard page","LMS SYSTEM","Thu Feb 05 23:32:21 UTC 2026","passed","Thu Feb 05 23:32:23 UTC 2026","Dashboard","Dashboard","",""
"","1583","User login with wrong email or password","LMS SYSTEM","Thu Feb 05 23:32:16 UTC 2026","passed","Thu Feb 05 23:32:17 UTC 2026","Authorization","Authentication","",""
