"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 05 02:18:20 UTC 2026","Thu Feb 05 02:18:23 UTC 2026","3655","tests.courses","test_courses","TestCourses","","","Create correct new course",""
"passed","Thu Feb 05 02:18:12 UTC 2026","Thu Feb 05 02:18:15 UTC 2026","2553","LMS SYSTEM","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Feb 05 02:18:06 UTC 2026","Thu Feb 05 02:18:12 UTC 2026","5837","LMS SYSTEM","Authentication","Authorization","","","User registration, logout and login with valid email and password",""
"passed","Thu Feb 05 02:18:18 UTC 2026","Thu Feb 05 02:18:19 UTC 2026","1614","LMS SYSTEM","Courses","Courses","","","Check display empty courses list",""
"passed","Thu Feb 05 02:18:06 UTC 2026","Thu Feb 05 02:18:08 UTC 2026","2000","LMS SYSTEM","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Feb 05 02:18:13 UTC 2026","Thu Feb 05 02:18:14 UTC 2026","1560","LMS SYSTEM","Authentication","Authorization","","","navigation from login page to registration page",""
"passed","Thu Feb 05 02:18:09 UTC 2026","Thu Feb 05 02:18:12 UTC 2026","2746","LMS SYSTEM","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Thu Feb 05 02:18:20 UTC 2026","Thu Feb 05 02:18:23 UTC 2026","2733","LMS SYSTEM","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Feb 05 02:18:23 UTC 2026","Thu Feb 05 02:18:23 UTC 2026","0","tests.pytest","test_markers","TestUserFlow","","","test_user_can_login",""
"passed","Thu Feb 05 02:18:24 UTC 2026","Thu Feb 05 02:18:24 UTC 2026","0","tests.pytest","test_markers","TestUserFlow","","","test_user_can_register",""
"passed","Thu Feb 05 02:18:16 UTC 2026","Thu Feb 05 02:18:18 UTC 2026","1976","LMS SYSTEM","Authentication","Authorization","","","User registration with correct email, username and password",""
